id;status;resource_input;rule_input
1;Handmade Cambridgeshire sky blue;process improvement Diverse Station;compress installation
2;Generic Cotton Towels Kroon;Soap;Chips Ports Handmade
3;Alabama viral Grove;Bike Refined;Locks Dalasi Fantastic Plastic Sausages
4;cohesive;Small;e-business
5;green Barbados;firewall Kentucky;Road
6;global RAM Savings Account;transmit Gorgeous Fresh Towels Stream;primary Computers
7;Cotton Accountability GB;violet Regional Forward;payment Towels
8;time-frame navigate Money Market Account;dynamic middleware;integrated
9;connect Shirt;fuchsia incremental task-force;Pizza
10;Optimization COM redundant;monitor mint green;encoding
